iter	Passed	Remaining
0	144	144616
1	147	73759
2	150	49909
3	152	37958
4	155	30860
5	158	26236
6	161	22871
7	163	20283
8	165	18263
9	168	16646
10	171	15408
11	175	14457
12	178	13559
13	181	12765
14	183	12081
15	186	11486
16	189	10947
17	191	10454
18	194	10020
19	196	9623
20	198	9259
21	201	8941
22	203	8661
23	206	8381
24	208	8118
25	210	7881
26	212	7661
27	214	7445
28	217	7267
29	219	7097
30	221	6923
31	223	6771
32	225	6614
33	227	6474
34	230	6362
35	233	6262
36	236	6144
37	238	6034
38	240	5919
39	242	5814
40	244	5709
41	247	5638
42	250	5565
43	252	5481
44	254	5401
45	256	5327
46	259	5257
47	262	5199
48	264	5142
49	267	5077
50	269	5014
51	271	4953
52	273	4892
53	277	4862
54	280	4815
55	282	4757
56	284	4705
57	286	4655
58	288	4604
59	291	4565
60	293	4513
61	295	4463
62	296	4416
63	298	4368
64	300	4321
65	302	4276
66	304	4236
67	306	4194
68	307	4153
69	309	4115
70	311	4076
71	313	4039
72	315	4001
73	316	3966
74	319	3943
75	321	3911
76	323	3876
77	325	3842
78	327	3813
79	328	3782
80	330	3751
81	332	3725
82	334	3691
83	336	3671
84	339	3649
85	341	3625
86	343	3600
87	345	3578
88	347	3558
89	350	3542
90	352	3521
91	354	3500
92	356	3479
93	358	3459
94	361	3441
95	363	3422
96	366	3408
97	368	3389
98	370	3372
99	373	3357
100	375	3340
101	377	3323
102	380	3310
103	382	3295
104	384	3276
105	386	3258
106	388	3240
107	389	3220
108	391	3200
109	393	3183
110	395	3165
111	396	3147
112	398	3130
113	400	3116
114	403	3102
115	405	3087
116	406	3070
117	408	3056
118	410	3038
119	412	3022
120	413	3007
121	415	2989
122	417	2974
123	419	2961
124	420	2946
125	423	2936
126	425	2921
127	427	2909
128	428	2896
129	430	2882
130	432	2869
131	434	2857
132	436	2843
133	438	2833
134	440	2821
135	442	2812
136	444	2799
137	445	2785
138	447	2772
139	449	2761
140	451	2750
141	452	2736
142	455	2727
143	457	2718
144	459	2709
145	461	2698
146	463	2687
147	464	2675
148	466	2664
149	469	2657
150	471	2649
151	473	2640
152	475	2632
153	477	2624
154	479	2615
155	482	2609
156	484	2602
157	487	2596
158	489	2588
159	491	2580
160	492	2568
161	495	2561
162	498	2557
163	500	2549
164	502	2542
165	504	2534
166	506	2526
167	508	2519
168	510	2511
169	514	2509
170	516	2503
171	518	2496
172	520	2489
173	523	2484
174	526	2482
175	529	2481
176	532	2476
177	534	2469
178	537	2463
179	539	2458
180	542	2453
181	544	2447
182	546	2440
183	549	2434
184	551	2429
185	553	2423
186	557	2423
187	559	2418
188	561	2410
189	563	2403
190	566	2397
191	568	2392
192	570	2386
193	572	2380
194	575	2374
195	577	2368
196	579	2361
197	581	2355
198	583	2349
199	586	2345
200	588	2340
201	590	2333
202	592	2326
203	594	2319
204	596	2311
205	597	2303
206	599	2295
207	601	2291
208	603	2284
209	605	2278
210	607	2271
211	609	2263
212	611	2257
213	612	2250
214	614	2243
215	616	2237
216	618	2233
217	620	2226
218	622	2219
219	623	2212
220	625	2204
221	626	2196
222	628	2190
223	630	2184
224	632	2179
225	634	2172
226	636	2167
227	637	2160
228	639	2153
229	641	2147
230	642	2140
231	644	2135
232	647	2130
233	648	2124
234	650	2117
235	652	2111
236	653	2105
237	655	2099
238	657	2092
239	658	2085
240	660	2081
241	662	2076
242	664	2070
243	666	2064
244	668	2059
245	670	2053
246	671	2047
247	673	2041
248	675	2038
249	677	2033
250	680	2029
251	681	2024
252	683	2018
253	685	2014
254	687	2008
255	689	2002
256	691	1999
257	693	1993
258	694	1988
259	696	1982
260	698	1977
261	700	1972
262	701	1966
263	703	1960
264	705	1955
265	706	1950
266	708	1944
267	710	1940
268	711	1934
269	713	1929
270	715	1924
271	717	1919
272	719	1916
273	721	1912
274	723	1907
275	725	1903
276	727	1898
277	729	1893
278	730	1888
279	732	1882
280	733	1877
281	736	1875
282	738	1870
283	739	1865
284	741	1860
285	743	1855
286	744	1850
287	746	1845
288	748	1841
289	750	1838
290	752	1834
291	754	1829
292	756	1825
293	758	1821
294	760	1816
295	761	1811
296	763	1807
297	765	1803
298	767	1798
299	768	1794
300	770	1789
301	772	1784
302	773	1779
303	775	1774
304	776	1770
305	778	1766
306	780	1762
307	782	1758
308	784	1753
309	786	1749
310	787	1745
311	789	1739
312	790	1735
313	792	1730
314	793	1726
315	795	1722
316	797	1718
317	799	1713
318	800	1709
319	802	1705
320	803	1700
321	805	1696
322	807	1692
323	810	1690
324	812	1687
325	814	1683
326	816	1680
327	818	1677
328	820	1673
329	821	1668
330	824	1666
331	827	1664
332	829	1661
333	831	1657
334	833	1655
335	835	1651
336	837	1647
337	839	1645
338	842	1642
339	844	1638
340	846	1635
341	847	1631
342	849	1626
343	851	1622
344	853	1620
345	855	1617
346	857	1614
347	860	1611
348	862	1608
349	863	1604
350	865	1600
351	867	1597
352	870	1594
353	872	1591
354	874	1588
355	875	1584
356	878	1581
357	880	1578
358	882	1575
359	884	1572
360	886	1569
361	888	1565
362	890	1562
363	892	1559
364	894	1555
365	896	1552
366	898	1549
367	900	1546
368	902	1543
369	904	1540
370	906	1537
371	909	1534
372	910	1530
373	912	1527
374	914	1524
375	916	1521
376	918	1517
377	920	1514
378	922	1511
379	924	1507
380	925	1504
381	928	1501
382	930	1499
383	932	1496
384	934	1492
385	936	1490
386	938	1486
387	940	1484
388	943	1481
389	945	1479
390	947	1475
391	949	1472
392	951	1469
393	953	1466
394	955	1463
395	957	1460
396	959	1457
397	961	1455
398	964	1452
399	966	1449
400	968	1446
401	970	1444
402	973	1441
403	976	1440
404	978	1437
405	980	1435
406	983	1432
407	985	1429
408	987	1427
409	990	1425
410	992	1422
411	994	1418
412	996	1415
413	998	1412
414	999	1409
415	1001	1406
416	1004	1404
417	1006	1401
418	1008	1398
419	1010	1395
420	1012	1392
421	1014	1389
422	1016	1386
423	1019	1384
424	1021	1382
425	1023	1379
426	1025	1376
427	1028	1373
428	1030	1371
429	1032	1368
430	1035	1367
431	1037	1364
432	1039	1361
433	1041	1358
434	1043	1355
435	1045	1352
436	1049	1352
437	1051	1349
438	1053	1346
439	1055	1343
440	1058	1341
441	1060	1338
442	1062	1335
443	1064	1332
444	1066	1329
